Name,Price,URL,Rating,Number of Reviews
"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",499,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjg5MjA0NzA0NjkxMjE0OjE2Nzk1OTcwNzE6c3BfYnRmOjIwMDg0MTM4NDM5NTk4OjowOjo&url=%2FSINOPACK-BACKPACK-LAPTOP-SCHOOL-LITER%2Fdp%2FB0BGPFCN7L%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597071%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,5.0 out of 5 stars,1
Zilant Large 40L Laptop Backpack MultiPurpose Laptop Bag With RainCover For Men & Women Multipurpose Bag,799,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjg5MjA0NzA0NjkxMjE0OjE2Nzk1OTcwNzE6c3BfYnRmOjIwMDkzMzE2NzQyMjk4OjowOjo&url=%2FZilant-Backpack-MultiPurpose-RainCover-Multipurpose%2Fdp%2FB0B7N8KPVM%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597071%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,3.3 out of 5 stars,18
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9hdGZfbmV4dDoyMDEwODQ3NTA3NDY5ODo6MDo6&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.7 out of 5 stars,19
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9hdGZfbmV4dDoyMDEwNTQ1MTg1MTQ5ODo6MDo6&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR179L65%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.9 out of 5 stars,23
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,599",https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-35,4.3 out of 5 stars,401
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,748,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-36,4.1 out of 5 stars,"1,052"
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",652,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-37,4.4 out of 5 stars,"2,738"
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),716,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-38,3.9 out of 5 stars,37
American Tourister Casual Backpack,"1,139",https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-39,4.1 out of 5 stars,"14,490"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-40,4.1 out of 5 stars,496
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-41,4.0 out of 5 stars,"5,151"
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,239,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-42,4.0 out of 5 stars,"3,130"
