Name,Price,URL,Rating,Number of Reviews
"EUME Barret - 29L Massager Laptop Backpack Bag with Built In Patent Massager Technology with 15.6 Inch Laptop Compartment for Men & Women, Camouflage Grey","4,599",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzYwNTEwODMwNjAwMzk3OjE2ODg2NjA1MzI6c3BfYnRmOjIwMTU3MzkzNzg3Nzk4OjowOjo&url=%2FEUME-Ltrs-Laptop-Backpack-2400012_BB_BuyMore%2Fdp%2FB07JZXPQDR%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660532%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.0 out of 5 stars,97
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 212),"1,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzYwNTEwODMwNjAwMzk3OjE2ODg2NjA1MzI6c3BfYnRmOjIwMTEzNzg4MTc1Mzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB07MJZGXBP%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660532%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.3 out of 5 stars,"7,987"
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfYXRmX25leHQ6MjAxMDg0NzUwNzQ2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.2 out of 5 stars,57
EUME Propine 22Ltrs Massager Laptop Backpack with Built-in Massager Technology | Fit Upto 15.6 Inch Laptop for Office & Travel | Black Color,"3,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfYXRmX25leHQ6MjAxNjIyNjU0ODI3OTg6OjA6Og&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB085GDV195%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.0 out of 5 stars,47
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-35,4.3 out of 5 stars,422
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,499,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-36,4.0 out of 5 stars,"3,977"
ADISA 31 Ltrs Casual Backpack School College Bag Pack (Navy Blue),399,https://www.amazon.in/ADISA-Casual-Backpack-School-College/dp/B0BX3QFVSM/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-37,3.8 out of 5 stars,97
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,512,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-38,4.0 out of 5 stars,"6,061"
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-39,3.8 out of 5 stars,839
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),549,https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-40,3.9 out of 5 stars,"7,620"
