Description,ASIN,Product Description,Manufacturer
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",B07YDGQQN5,,Fur Jaden
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",B097JHQH13,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Glitter School Bag.",Safari
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",B09B29F66W,,Safari Industries
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BR1D4SL1,,Acefour Accessories Pvt. Ltd.
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0B81YTTWS,,Acefour Accessories Pvt. Ltd.
F Gear Luxur Brown 25 liter Laptop Backpack (2404),Uber Fashion Merchandise Pvt. Ltd.,"A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16",15 September 2015
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,Fur Jaden,"This durable and lightweight backpack from Fur Jaden can keep you sorted throughout the day while also being super stylish, thus making it the perfect modern and functional accessory for any user – male or female. This backpack can be the perfect complement to your bold and charismatic persona, while its multiple inner chambers can hold all your stuff with convenience. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a symbol of sophistication. This backpack is high on aesthetics as well as on utility and functionality. This unisex backpack from Fur Jaden comes in an anti-theft design which lets you carry your laptop anywhere with confidence. Keep your belongings secure as your score high on the style quotient with this functional backpack. One of the most striking features of this backpack is that it allows you to charge your phone while you are travelling. The charging dock which comes attached to the backpack allows you to connect your portable charger seamlessly for maximum convenience.The material of this backpack from Fur Jaden is water resistant, which keeps any worries about getting it wet in the rain or accidental splashes at bay. Your laptop and every other belonging will stay safe from water as long as you keep them inside your backpack. This backpack from Fur Jaden comes with substantial capacity to accommodate your laptop and other goods with ease. The large capacity of this backpack can store laptops up to a 15.6 inches without any hassle. Weighing in at only 0.7kg, this Fur Jaden backpack with anti-theft feature is a breeze to carry around. Most of the weight you will feel is that of the goods you carry inside, as the backpack does not impose much weight on the user. This multipurpose and water resistant backpack from Fur Jaden can take you from day to night, thanks to its multiple compartments. With 1 main compartment and 7 small, inner pockets, it lets you store all your belongings and keeps them sorted too. Pattern: Solid.",16 December 2017
DEIN KLEIDER Men's Nylon Messenger Bag,DK01CSP-HYP,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.",B084ZHP97M
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",B07QN4KXWG,,AirCase
TRAWOC 80L Travel Backpack for Men & Women Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack,B0847PGZZM,"The TRAWOC 80L backpack is perfect for any adventure! This unisex travelling bag is designed for trekking, hiking, and camping, with a premium padded shoulder strap and mesh padding for maximum comfort. The padded back panel ensures breathability during extended wear. This backpack features a premium buckle and YKK zipper for added durability, making it the perfect mountain bag or camping rucksack. The front opening provides easy access to your gear, and the integrated rain cover keeps your belongings dry during inclement weather. This large backpack is suitable for men, women, boys, and girls, and can be used as a biker backpack or riding backpack. It has a Luggage/suitcase-type opening, which makes packing and unpacking a breeze. The back padding ensures that it's comfortable to wear for long periods of time, making it perfect for touring or flight travel. The TRAWOC backpack is perfect for daypack use, with excess storage capacity and weight-bearing capacity too. It's available in a variety of colors and sizes, making it suitable for any adventure or occasion. The 1-year warranty ensures that you'll be able to enjoy your backpack for years to come. Whether you're a tourist, tourister, or outdoor enthusiast, this big bag is perfect for you. It's a must-have for anyone who loves adventure and wants to travel in style and comfort. So, get your TRAWOC backpack today and start your next adventure!",TRAWOC
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,B08PSX1LN9,"This Rucksack backpack ensures complete safety to your 17.3 inch laptop with high quality build and a wide range of built-in features, With a Dual Side Pocket In the inside of the bag, featuring protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidents caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. A Front Pocket with an Organizer helps you store your small essentials. It also features Reflector Logo, Rain cover and Reflector patch which is highly useful for motorists, cyclists, walking at night. It also features an Earphone Cord Support which very useful for long travelers. The inner material is made of polyester. This backpack is also water-resistant.",AB Amazing Bags
"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",S-P-B-B1,"plural backpacks. countable noun. A backpack is a bag with straps that go over your shoulders, so that you can carry things on your back when you are walking or climbing.",B0BGPFCN7L
Zilant Large 40L Laptop Backpack MultiPurpose Laptop Bag With RainCover For Men & Women Multipurpose Bag,India,"This Attractive Bag Comes With Two Water Bottle Holder And Rain Cover Feature. In This Bag You Will Get Laptop Compartment For Extra Safety. This Bag Comes With Comfortable Grip And Lightweight So That You Can Hold This Bag For A Long Time. This Is A Multipurpose Backpack, You Can Use This Backpack For A Weekend Trip, Office, School, College etc. This Bag Comes with Long Life Genuine Zipper.",Z-003
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BRMWDNZ7,,Acefour Accessories Pvt. Ltd.
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",B0BR179L65,,Acefour Accessories Pvt. Ltd.
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,Wesley
American Tourister Casual Backpack,Samsonite,,18 April 2018
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",B09B28TKLG,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Safari Industries
The Clownfish Tramp 33 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Black- Size 48 Cm),B0BFL7SVSM,"Travel all the way with large capacity classic wheels trolley backpack. Efficiently designed to be an ultimate friend while traveling. Comes with 3 main compartments with multiple pockets and laptop sleeve. 1st Main compartment comes with Laptop Sleeve and 1 small zipper pocket for coins etc. 2nd Compartment is spacious to hold laptop or office accessories or documents. 3rd Compartment comes with 2 organizer pockets and 1 open pocket for mobile etc. Water Bottle pocket on both sides along with zippers. Front small zipper pocket for googles etc.This backpack comes with strong cushioned shoulder straps & padded back panel.The trolley bag is provided with two sturdy wheels & retractable telescopic handle. (Total 3 main compartments, 6 zippers outside, 1 zipper inside)",Skyventure
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",Designed By Mokobara Lifestyle Private Limited,,13 January 2021
"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",B08D7QG33Z,"The Nivia Pulse jr. Bag consists of one zippered main bag, 1 front pocket to safely store your cellphone, mini tablet, PSP, wallet, keys, engineered card, small snacks, and other small personal belongings. Perfect ideal for outdoor sports (hiking, camping, climbing, cycling, etc) and travel use.",FREEWILL SPORTS P LTD - PB
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,B09W4VMZ79,"Bid goodbye to the daily hassle of finding ways to carry your laptop and other accessories with the AmazonBasics - Casual Backpack/Office Bag. It is an instant relief provider as the compactly designed backpack offers you space and comfort simultaneously. The stylish backpack has 2 large compartments where you can stack up your chargers, power banks, lunch box, tablet, etc., alongside a 15.6-inch laptop. Well-padded and well-cushioned, the backpack has 2 side pockets where you can keep extra items when on the move. Durable and strong, the backpack is made from water-resistant polyester fabric.","Flab internatioanl private limited, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777"
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,B09QM9N1B3,"FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.",Half_Moon
motherly Diaper Bags for Mom Travel Basic Edition (Black),B07QXSNDKN,"We have got all that parents require in MOTHERLY DIAPER BAGS: Our Quick Pack Diaper Backpack, as the name suggests, is an economical, travel-friendly, waterproof, lightweight, spacious, and easy to clean and handle moms’s baby care accessory that is a bargain to buy. 12 roomy pockets, 3 insulated milk bottle pockets (18 cm in length each), anti-theft mobile compartment, independent interior wet-dry separator for keeping wet & soiled clothes away from dry ones, fitted zipper closures, adjustable cushioned shoulder straps, front-back zipper openings for 2-way reachability, subtle and chic color combos are some of the many multi-utility benefits you are assisted with. Convenient hands-free usage with D-rings combined with an easy grab-top handle to make it a brilliant carry companion (as a tote/travel/regular diaper bag) and gifting option for the moms and moms-to-be(s) in your list. Take it out for a spin with effortless organizing and exclusive style without burning a hole in your pockets. Whether you are handling things solo or traveling with your peeps, Motherly Diaper Bags are bound to make a lifestyle statement among your friends and family!!!",0 months and up
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,B07G4F3758,,Gear
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,BG7213,,B09VGNTDRZ
FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,Fur Jaden,A trendy addition to your accessory collection this season comes in the form of this Backpack,17 December 2018
