Description,ASIN,Product Description,Manufacturer
"GREENLANDS 42 Litres Quad Backpack/Bag with Rain Cover for Travel, Upto 17” Laptop, School/College and Work Lightweight and Stylish Bag Men and Women- Light Grey",B08ML7RWG6,"Padded laptop sleeve compatible upto 17"" size. Elasticated strap keeps laptop in place. Padded carry handle for firm yet comfortable grip to carry over long periods. Front easy access multi level organizer to keep knick-knacks organised. Lightweight, durable, water-resistant proudly “made in india” fabrics. 200 denier poly lining material in compartment separators. 300 denier poly oxford fabric for main body. 400 denier dobby hard-wearing fabric at bottom for minimal wear and tear. All fabrics water-resistant upto 80 min of 500 mm rainfall. N-toxic bpa free zipper. World’s best ykk assurance of smooth running and durable runner.Tested to 500 opening /closing cycles. Tensile strength holding upto 83 kg. Elasticated full fabric bottle/umbrella holder on both sides. No risk of tearing/cutting unlike mesh pockets. 8mm thick cushioning and fully ventilated padded back support for long term carrying comfort.Full 0.5 mm hdpe support in back provided stability and strength. ‘s’ shaped triple-layered triple-density foam padded shoulder strap, fully adjustable for customised fit depending on your height and contents in bag. All buckles of virgin hdpe proudly “made in india” . Easy to adjust bag with just a flick of the finger whatever be the weight tensile breakage strength tested to 65 kgs. 3-ply 210 denier 100% polyster thread used all across tensile breakage strength tested to 4 kg",SG
Wooum 15.6 Inch Office Laptop Bags Briefcase for Men and Women Side Bag for Laptop Briefcase Slim messanger Bag for Laptop,B09MKVNKVK,Wooum 15.6 Inch Office Laptop Bags Briefcase for Men and Women Side Bag for Laptop Briefcase Slim messanger Bag for Laptop Messenger Bag,wooum
Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,B0B45VLPMT,,Bagzone Lifestyle Pvt Ltd
Chris & Kate Grey Khadi Water Resistant Polyester Backpack for School | College | Office Use With Laptop Compartment,"CKB_520, 521, 522","This Chris & Kate Polyester stylish and trendy Backpack is for the trendy school, collegegoers & Office use. Made from Khadi Fabric, this backpack is high on durability. Its padded, adjustable straps, provides ample comfort while carrying it on your shoulders. This Chris & Kate multi-purpose bag features Two large compartments, 1 front compartment for accessories) to carry your everyday essentials or basics needed for the next short trip. You may also use it to carry a laptop to office. A zippered large compartment at the front lets you store stationery items, cables, chargers, pen drives etc to keep yourself organised, this backpack has it all. This backpack also has mesh bottle holder to keep you hydrated on the go!",B0BKZLJZVF
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,B08PSX1LN9,"This Rucksack backpack ensures complete safety to your 17.3 inch laptop with high quality build and a wide range of built-in features, With a Dual Side Pocket In the inside of the bag, featuring protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidents caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. A Front Pocket with an Organizer helps you store your small essentials. It also features Reflector Logo, Rain cover and Reflector patch which is highly useful for motorists, cyclists, walking at night. It also features an Earphone Cord Support which very useful for long travelers. The inner material is made of polyester. This backpack is also water-resistant.",AB Amazing Bags
Skybags Unisex Grey Jacqard 34L Laptop Bags,B09ZV9SLBJ,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
LL LEATHER LAND DESIGNER BAGS Women Sling Bag,B0BD4TTDHD,"Leather Land Designer bags are one of the trendy bags manufactures in India. Belladona is a SUB Brand of Leather Land Designer bags, these products are designed with the latest model cuts, Standard Material, Runners and lining. By keeping in view the present fashion and at reasonable rate to match all age groups of people 1) This small sling is used best for items such as mobile, money, specs etc. best use for Daily purpose. 2) Runner is used of standard stain less steel. 3) This sling has adjustable strap belt with standard fine fabric quality lining. 4) The colors of this bag material are used to match the present fashion world as Elegant and stylish look. 5) This product consists of ‘1’ Main Zipper compartment,’1’ Inner zip pocket, and ‘1’ back wide zip pocket 6) Water Resistant. 7) This Sling is made of Standard Leather Texture Look Material, 8) and it is easily Washable with Wet White Cloth Dumped in some soap liquid material. 9) Length 10 Inches, Height 9 inches and Base 4 inches.",LL LEATHER LAND DESIGNER BAGS
F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),B07XMLCYTH,"This F Gear Millionaire laptop backpack is designed with USB charging port that offers the convenience of charging your mobile on the go and Reflective printing along with inbuilt rain cover in a concealed pocket makes it most adapted for rainy conditions. This amazingly designed backpack has a hidden security pocket at the back which makes you far away from theft and protects your wallet, phone and other valuables. Apart from this there are also 2 huge compartments with laptop sleeve and tab sleeves, 3 pockets at the front with detailed organizer and interior two zip pockets and two side mesh bottle holders. Large capacity multi-compartment bag - Featuring a judicial selection of style and functionality, the offered backpack has multiple storage compartments which can be used for hassle-free and organized storage of laptops, tab, mobile phone, charger, clothes, pens, keys, bottles, books, documents, umbrella, etc. Carry anywhere, everywhere - no matter whether you count yourself among school or college-going youth or a daily commuter, this amazingly designed backpack is convenient for business, College, weekend getaways, travelling and all sorts of outdoor activities. Air mesh padding at the back panel and shoulder straps for utmost comfort. It provides the perfect amount of space for all your weekend essentials.",Uber Fashion Merchandise Pvt. Ltd.
"QUDDY Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags",B0BVWH7FS5,"QUDDY Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags

◘Professional makeup bag with compartments, a large-capacity travel cosmetic bag, with a multi-compartment design, everything has its place and you can find it in a second.

◘Our travel toiletry bag is made of high-quality PU leather material, which is High-quality waterproof, prevents internal products from getting wet, and easy to wipe stains, ensuring long-term use.

◘This toiletries travel bag has a firm and portable handle design, which is durable and easy to carry. the high-quality metal zipper is smooth, durable, and easy to open.

◘Our cosmetic bags for women weighs light, use our lightweight cosmetic bag instead of a bulky cosmetic bag. Large makeup bag is a combination of sophistication and elegance.

◘Pretty bag with plenty of space, Small bag with large capacity, easy to carry various items, Easily fit lotion, cream, facial cleanser, foundation, concealer, mascara, eye shadow, powder, blush, lipstick, makeup brushes, which perfectly accommodates all your needs for daily use or travel.

◘Our portable makeup bag is elegant and practical, perfect for daily use or travel. It would be an perfect gift for women and girls with Mother's day, Women's day, Christmas Gift Box, Birthday, Anniversary, Valentine's Day, etc. Please contact us directly if you have any questions.

◘Specification:
Material: PU
Color: cream white & brown
Size: 23.5*10.5*11cm/9.25*4.13*4.33inch

◘Package included:
1 x Cosmetic Bag.

◘Note:

Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures. Thank you!

Please allow 1-2cm measuring deviation due to manual measurement.",QUDDY
"PUMA Derby Backpack IND- Black Castlerock, X, Puma Black-Castlerock",B0861D8QHK,"This Derby Backpack from PUMA is skillfully designed to support your requirements with its spacious compartment and pockets. Additionally, it also features a catchy and dynamic design to enhance your style quotient as well.",PUMA SPORTS INDIA PVT LTD
Kuber Industries Rexine Lightweight Travel Toiletry Bag Shaving Kit with Carrying Strap (Grey) 54KM4283,B0B45QRYHY,"All-purpose travel toiletry Case is convenient to fit in a carry-on size backpack or luggage and it has convenient hook to hang anywhere. Perfect for traveling, business trip, camping, student trip and outdoor actives. No heavy metal pollution, to ensure safety and environmental protection. This slim, foldable and lightweight travel toiletry bag will store ALL your personal toiletry essentials in neat order, without taking up too much space in your luggage!",Kuber Industries
Wenger Ibex 17 Inch (23 litres) Blue Laptop Backpack Swiss Designed - 600638,Wenger,"A sporty versatile Backpack from WENGER, made of Polyester. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",5 August 2020
"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0B5NBLGBQ,"If you feel all backpacks are just the same old boring black and grey bags, read on. Especially if you are stylish and are looking for one that will complement your style. This handcrafted uppercase RollTop Laptop Backpack is the perfect stylish, sleek, and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack your other essentials. It is visually striking with a classic European design. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Spacious compartment that can carry 3+ A4-sized books or a set of clothes, and all your essential chargers and electronics. - Internal organiser to store your power bank and cables. - Front access pocket to easily carry important small items. - Bottle holder on the side. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Superior material quality - Premium Nylon-sheen fabric gives the backpack a smooth and glossy feel that is a joy to touch. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Roll Top Laptop Backpack bought helps reduce 9 1-litre plastic bottles from the planet, helps conserve 117ml of crude oil, and prevents 584g of CO₂ emission. * *Approximate calculations based on information available on www.textilevaluechain.in",Acefour Accessories Pvt. Ltd.
"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",Uber Fashion Merchandise Pvt. Ltd.,An Awesome backpack from F Gear which is Specially designed as an everyday backpack for the youth. It is Lightweight and boasts of three huge compartments of which one is specially designed for laptop. It has a zippered pocket conveniently located at the bottom with a detachable Rain cover. Reflective printing makes it suitable for night and rainy conditions. Padded shoulder straps and back add to the comfort. Water Bottle Pouch available on both sides. Comes with F Gear promise of quality.,22 December 2017
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Aqua Blue,Grey)",Uber Fashion Merchandise Pvt. Ltd.,"Well if you are looking for a big bag which is also very stylish, durable, waterproof with a laptop in built sleeve then your search ends here. Yes you got it right!, this f gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt rain cover neatly tucked away in a concealed pocket along with reflective strips and reflective printing makes it a natural choice for rainy season. Support at the base makes it suitable for rough/dirty terrains. Padded shoulders and back with side compression straps completes the picture. Comes with the f gear promise for quality.",31 January 2019
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",B07QL8633G,,AirCase
Lavie Sport Chief 34 litres Business Laptop Bags | Premium Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,B0BTLY572N,"For working and casual professionals, the Lavie Sport laptop backpack is built of sturdy superior polyester material. It is a durable yet lightweight backpack with two roomy compartments, mesh padded back, a padded laptop sleeve, and external pockets.",Bagzone Lifestyle Pvt Ltd
Szeentp DEEMOM Polyester 15 L Blue School Bag with Laptop Compartment (Black),B08MYLMFGT,"Polyester 15 L Blue School Bag with Laptop Compartment This black and blue-striped unisex backpack is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.",AN Manufacturer
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0B69M182Q,,Acefour Accessories Pvt. Ltd.
"WENGER Quadma ML 16 Inch Laptop Backpack in Black (22 Litres)-blend of style & function, Swiss designed, 612019",B09KV8PG66,"Wenger, a trusted Swiss company since 1893, offers travel gear that is reliable, functional, Swiss-designed, trendy & embodies their time's spirit to perfection. They are the ideal companion for active people who are always on the go, appreciate the value of quality, & taste for panache, who like to put their trust in top quality at a reasonable price. Whether you're running errands or jogging in the hills, you need a backpack that won't let you down.
The impeccably designed Quadma safely stores your 16"" laptop in a plush dedicated compartment, and your body is just as protected thanks to the adjustable shoulder straps and padded back panel.

Thanks to the genius essentials organizer, you'll easily be able to put your hands on any tech or everyday essential, while the mesh side pocket provides extra storage for a water bottle or umbrella.

Find the perfect stylish yet versatile companion for your active, mobile lifestyle in the Wenger travel gear collection. From the house of Victorinox- the makers of the Original Swiss Army Knife.",Victorinox
"Chris & Kate 40 L Polyester Blue Yellow 15.6"" inch Laptop Backpack | Office, Travel and Casual Laptop Bag",B0BGZSLGN8,"This Chris & Kate Polyester stylish and trendy School Backpack is for the trendy school, collegegoers & Office use. Made from polyester, this backpack is high on durability. Its padded, adjustable straps, provides ample comfort while carrying it on your shoulders. This Chris & Kate multi-purpose bag features Two large compartments, 1 front compartment for small accessories) to carry your everyday essentials or basics needed for the next short trip. You may also use it to carry a laptop to office. A zippered large compartment at the front lets you store stationery items, cables, chargers, pen drives etc to keep yourself organised, this backpack has it all. This backpack also has mesh bottle holder to keep you hydrated on the go!",Chris & Kate
Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,B08D73QVTD,All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.,Gear
"ASUS BP4600 Laptop Backpack (Grey), with Cross-dyed Woven Fabric Material, Suitable for up to 40.64 cm (16-inch) Laptop",B09Q68446F,"ASUS is a Taiwan-based, multinational computer hardware and consumer electronics company that was established in 1989. Dedicated to creating products for today’s and tomorrow’s smart life, ASUS is the world’s No. 1 motherboard and gaming brand as well as a top-three consumer notebook vendor. ASUS became widely known in North America when it revolutionized the PC industry in 2007 with its Eee PC. Today, the company is pioneering new mobile trends with the ASUS ZenFone series, and it is rapidly developing virtual and augmented reality products as well as IOT devices and robotics technologies. Most recently, ASUS introduced Zenbo, a smart home robot designed to provide assistance, entertainment, and companionship to families.","ASUS, Korrun India Private Limited. plot no-25,p2,1st phase, Bidadi Industrial Area Ramanagara District,karnataka-562109 Banglore , India"
"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",B099NM8621,,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BR1D4SL1,,Acefour Accessories Pvt. Ltd.
Tommy Hilfiger Orlean Plus Unisex Polyester Overnighter with 15 Inch Laptop Pocket Dark Black,B0BDS1RVPP,"One of the leading lifestyle brands, TOMMY HILFIGER delivers superior styling, quality and value to consumers worldwide. The brand celebrates the essence of classic American cool and provides a refreshing twist to classic, American fashion. The brand is inspired by an iconic American style that is colorful while being classic yet modern.","Matrix, 102, Anand Complex, 189-A Sane Guruji Marg, Chinchpokli West, Mumbai, Maharashtra - 400011"
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,B097KCLF5F,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.",Gear
HA creation Large Laptop Backpack/Bag for Unisex Teens & Adults for College/Office/Travel/School Use in Multi-color | 30.5 cm x 18 cm x 46 cm.,Large Laptop Backpack Type 3,"This smart bag Unisex Backpack, Laptop Bags, College Bags, also is the light Weight trendy and tough. The straps are to reduce the weight off the shoulder. There are various pockets and compartments along with toughened zips to ensure maximum security and portability. It has spacious compartments, and a small inside compartment for laptop. The back is full padded. The shoulder straps are padded and adjustable.",B09VLBWZ4V
Wildcraft Work Packs'18 25 Ltrs Blue Laptop Backpack (ACE),Wildcraft,Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer.,23 August 2018
"DARK HORSE Laptop Bag Leather Briefcase 15.6 Inch Messenger Bag Satchel for Men, Padded Laptop Compartment 12 Liters , Water Resistant Shoulder Bag with Strap, Durable Office Bag, for Laptop/Notebook/MacBook",A314,"DARK HORSE Laptop Bag Made of heavy-duty and water-resistant synthetic leather fabric with a clean, convenient design to create a laptop case bag that is perfectly suited to modern life. It can protect your belongings from a small splash of water or light rain; nice stitching, well made, classic and stylish. It's a very durable laptop bag tablet bag. You can put a laptop, MacBook Pro, A4 books, iPad, glasses, wallet, keys, cell phone, umbrella, and document in the satchel bag. It's a comfortable and padded book bag for working, traveling, school, and casual everyday use. Ideal for men, women, teens, high school students, college students, boys, girls, etc. This bag is a great gift idea for Father's Day, Mother’s Day, Birthdays, Valentine's Day, Festivals, Graduation, or any occasion which calls for a gift.",B0BJZF92F6
Wooum Dark Grey Stylish Sling Cross Body Bag/Messenger Bag/Shoulder Bag/One Side Bag/Office Bag For Men and Women,B09KKGRP7C,Wooum Stylish Sling Cross Body Bag / Messenger Bag / Shoulder Bag / One Side Bag / Office Bag For Men and Women,Wooum
"Vezela Set of 4 Casual Laptop Bag (35L) with USB Charging Feature with Lunch Bag, Pencil Case & Pouch, School Bag for Girls and Boys, College Bags for Girls, Laptop Backpack",VEZELA,,11 November 2017
"XPORIVA Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack",B0BW9JFWJM,"Design: Front Side 2 Pockets / Total Number of Compartment is 2 / Stationery Pockets are Available inside the Compartment / Water Resistant Artificial Leather / Anti theft Design Description : Stay organized all day with a durable and lightweight backpack. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can organize your stuff like pro. functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has two inner compartments two pockets and stationery pockets inside compartment to place your other essentials. Made from durable quality Artificial Leather back pack is sturdy and reliable. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",GOODNESS INTERNATIONAL
"Xporiva Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack",B0BVK4ZW3Q,"Design: Front Side 2 Pockets / Total Number of Compartment is 2 / Stationery Pockets are Available inside the Compartment / Water Resistant Artificial Leather / Anti theft Design Description : Stay organized all day with a durable and lightweight backpack. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can organize your stuff like pro. functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has two inner compartments two pockets and stationery pockets inside compartment to place your other essentials. Made from durable quality Artificial Leather back pack is sturdy and reliable. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.","Company Name: Goodness International, Brand name: Xporiva, Customer Care No: +91-6352854407"
"Funk For Hire Leatherette Printed 2 in 1 Backpack Shoulder Bag Handbag fit upto 15.6"" Laptop Size - Grey and Black",B09WYV3DS1,"Funk For Hire 15.6"" Leatherette Laptop Bag are digitally printed with the theme inspired from ""Happy Chaotic - India”. The bag provides a convertible carry-options - Shoulder Handbag & Backpack. The bag comes with two sturdy removable Shoulder Handbag Strap and easy to hide and access adjustable and well-padded Backpack straps. So, the bag can be used as handbag or backpack based on your need and preference. The bag has two spacious compartments providing good storage to fit into your requirements for work, college, school, travel and any other daily activities. It contains a inner cushioned 15.6"" screen size laptop compartment padded with thick soft foam with elastic velcro strap, providing excellent protection for your devices, that effectively absorbs accidental bumps, reduces damages caused by impacts or scratches. The Laptop Bag is ""MADE IN INDIA"" - Completely designed and handcrafted in our Design Studio in Mumbai. Faux leather products can be used for many years, if cared for properly. We believe in our products and stand by the quality of workmanship and materials in each one. Funk For Hire offers a 3 month warranty on this product against any manufacturing defect.",Funk For Hire
"HEROZ Harrow 45 Ltrs Travel Laptop Backpack Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping & Fits Up to 17.3-inch laptop (Notebook) (Navy Blue)",B0BR9BPHGW,"HEROZ Hammer 45 Ltrs Travel Laptop Backpack [Water Resistant] Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping&Fits Up to 17.3-inch laptop (Notebook)",A H Creation
"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",POLESTAR,"RAIN COVER & PREMIUM FABRIC : POLESTAR RANKER”, Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 46 cm X 32 cm X 22 cm : 32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack . This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 vertical long zip pocket at front, one laptop partition, 1 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage, school / college / office n travel.",29 January 2020
Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),B0BJVDN7VT,Laptop bag,"Wesley, Longani Trading company"
SriAoG Women Sling Bag with Velcro & Zipper Adjustable Strap Flap Bag | Handbag | Purse | Side Sling Bag | Cross Body Bag | Shoulder Bag | College Bag for Girls 12 Inch,B0BT1DDV1D,,SriAoG Women's Crossbody Bags - Sling bags Hyderabad
F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),B097K6SPH7,F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.,Uber Fashion Merchandise Pvt Ltd
srishopify handicrafts Fabric Jaipuri Embroidered/Needle craft Women's Sling Bag/Mobile Bag Medium crossbody bag Original Mirro Work handmade,SriShopify Handicrafts,"ECO-FRIENDLY MATERIALS: This designer bag is made from premium & soft Organic poplin cotton is extremely eco-friendly, stylish solid pattern a unique designer handbag is reusable cotton bag. Most popular designer mini bag for women party wear to keep your accessories and all needed essentials. Women bags small. MADE IN INDIA - SriShopify Handcrafted bags Rajasthani Bag features vibrantly colored embroidery mirror work hand bags women style. Double stitched stress points, smooth strong button handle lock pin. This fashion hobo handbag is ideal for daily life. This attractive Tote Bag is enriched with Patchwork stitched by hard working women. This handmade hobo is graced with hand Embroidery work in luscious colours is remarkable handwork of our artisans. The traditional Tote bag is decorated hand stich work. There is a Handmade Multicolor Shoulder Bag and border all around the Totes for a perfect finish. MATERIAL & DESIGN: Handbags for women. This beautiful satchel bag of ladies teens is made of Cotton. trendy handbag ladies in 12 solid colors that give this latest bag a chic look. The lining of this shopping handbag for women. classy look stylish hand bag for ladies Gift fashionable handbag to girlfriends. Perfect Gifts: beloved, friends, sisters, parents, daughter, girlfriend, Christmas, saint valentine day, birthday, mother's day, new year, Thanksgiving etc. Hand Messenger Bags large tote bags are perfect for your weekly shopping bag for women stylish.",27 May 2021
TOPPROSPER Kpop Bangtan Boys Casual Backpack Daypack Laptop Bag College Bag Book Bag School Bag with USB Charging Port,TOP BTSB003,Material: Canvas Color: As picture show Style: Fashion Size:32cm*15cm*45cm There is 2-3% difference according to manual measurement. please check the measurement chart carefully before you buy the item. 1 inch = 2.54 cm Please note that slight color difference should be acceptable due to the light and screen,B0B52BTP7F
Lavie Sport Mode Gear 30L Business Laptop Backpack | Premium Leather Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,B0BQMTLDGY,,Bagzone Lifestyle Pvt Ltd
LEADERACHI Women's Genuine Vintage Hunter Leather Shoulder Laptop Tote Bag,3089,"Leaderachi Verona Muskat Bags By H.A.Leathers has that distinct vintage style that you were looking for. The oiled buffalo leather will wear over time which will give every bag that vintage character and its unique patina. The pull-up leather allows small scratches to be rubbed out easily with your thumb. All our bags are 100% handmade from only the best materials. This fashionable shopper bag comes with a casual yet elegant design, smooth leather, and enough space to store your everyday essentials. Enhance your presence with LEABAGS.Dimensions (WxHxD): 40x31x12 cm (approx. 16x12x5 in). Features a zipped main compartment with padded laptop compartment and inside pockets for your phone and wallet, a pocket with flap and buckle closure on the front, a padded zip pocket on the back, and adjustable shoulder straps. Start your journey now! Use this bag as a handbag, tote bag, shopper, hobo bag, shoulder bag, city bag, shopping bag, laptop bag, travel bag, top-handle bag, work bag, office bag, business bag, college bag, university bag, can be combined with most outfits. It also makes for a great present! DISCLAIMER Color of the product may vary slightly due to photographic lightning or the display setting of your monitor",B07NDG5MYR
Wildcraft Streak 2.0 Plus Laptop Backpack 20L (Black),B07YYLL4MP,"Get this Streak 2.0 Plus Laptop Backpack, This comes in black colour.",black
American Tourister Spin 49 cms Navy Laptop Backpack,B07S13B1HR,,American Tourister
"MPK Perfect Best Birthday Gift for Boy/Gift for Girl/Unisex Sling Bag/CrossBody Bag/One-Shoulder Messenger Bag Chest Bag For Men&Women/Slim Bag for Office,Cash,Business Collection,Travelling/ 1pc",India,"MPK Perfect Best Birthday Gift for Boy/Gift for Girl/Unisex Sling Bag/CrossBody Bag/One-Shoulder Messenger Bag Chest Bag For Men&Women/Slim Bag for Office,Cash,Business Collection, Travelling 1pc",KIDS-BAG
DIKTOO 38L Large Laptop Backpack with 2 Compartments Blue Polyester Trendy School Travel & Laptop Backpack,DIKTOO,"Diktoo, Known For Its Basic Trending Design Which Is Suitable For All Generations Has Come Up With A New Laptop Sleeve 15 Inch Cum Cover Made Up Of Water Repellent Nylon Fabric That Protects Your Device From Water And Dust. Middle Shockproof Material Gives Protection Against Shocks And Bumps And The Inner Soft Lining Layer Protects Your Device From Scratches. This Laptop Bag 15 Inch Has 1 Compartment, The Main Compartment For The Device Of Laptop 15.6 Inch Provide Easy To Carry Device Accessories Like Charges, Pen Drive, Hard Disk, Mouse. Due To The 180 Degree Zip Of This Laptop Sleeve 15 Inch, You Can Access Your Device Without Taking It Out, Which Also Safeguard Your Device From Scratches When Placed On Any Surface. A Laptop Sleeve With Handle Features Allows You To Carry Like A Briefcase Bag When One Gets Tired By Holding It As A Sleeve. Slim Design Allows You To Carry Itself. Or. This Laptop Cover 15.6 Inch Will Enhance Your Appearance By Carrying Itself In Offices Or Colleges.",7 November 2022
